ID,Name,PID,Type ID,Enabled,Path Name
15100978,TRN_LN_FAC_FEE,15100928,JobPlan,1,BreakFix/Jobs/TRN_LN_FAC_FEE/
15100979,TRN_LN_FAC_TRD,15100928,JobPlan,1,BreakFix/Jobs/TRN_LN_FAC_TRD/
15100980,TRN_LN_FAC_TRD_CANC,15100928,JobPlan,1,BreakFix/Jobs/TRN_LN_FAC_TRD_CANC/
15100981,TRN_LN_FAC_SET,15100928,JobPlan,1,BreakFix/Jobs/TRN_LN_FAC_SET/
15100982,SA_CASH_MGMT,15100928,JobPlan,1,BreakFix/Jobs/SA_CASH_MGMT/
15100983,TRN_CCS_BASIS,15100928,JobPlan,1,BreakFix/Jobs/TRN_CCS_BASIS/
15100984,TRN_CCS_FI_FL,15100928,JobPlan,1,BreakFix/Jobs/TRN_CCS_FI_FL/
15100985,TRN_CCS_FI_FI,15100928,JobPlan,1,BreakFix/Jobs/TRN_CCS_FI_FI/
15100986,TRN_SWAPTION,15100928,JobPlan,1,BreakFix/Jobs/TRN_SWAPTION/
15100987,TRN_CDSOPT,15100928,JobPlan,1,BreakFix/Jobs/TRN_CDSOPT/
15100988,TRN_VAR_SWAP,15100928,JobPlan,1,BreakFix/Jobs/TRN_VAR_SWAP/
15100989,TRN_VOL_SWAP,15100928,JobPlan,1,BreakFix/Jobs/TRN_VOL_SWAP/
15100990,TRN_DIV_CAP_EVENT,15100928,JobPlan,1,BreakFix/Jobs/TRN_DIV_CAP_EVENT/
15100991,MAN_EXT_CL_TRD,15100928,JobPlan,1,BreakFix/Jobs/MAN_EXT_CL_TRD/
15100992,RE_PERF_DWH_LOAD,15100928,JobPlan,1,BreakFix/Jobs/RE_PERF_DWH_LOAD/
15100993,TRN_PMT_REC_AUXSTAT_20200302,15100928,JobPlan,1,BreakFix/Jobs/TRN_PMT_REC_AUXSTAT_20200302/
15100994,REF_SMF,15100928,JobPlan,1,BreakFix/Jobs/REF_SMF/
15100995,DWH_PFC_ERRORS,15100928,JobPlan,1,BreakFix/Jobs/DWH_PFC_ERRORS/
15100996,FLS_DEXS,15100928,JobPlan,1,BreakFix/Jobs/FLS_DEXS/
15100997,PERF_MCDS,15100928,JobPlan,1,BreakFix/Jobs/PERF_MCDS/
15100998,MIG_POST_VAL,15100928,JobPlan,1,BreakFix/Jobs/MIG_POST_VAL/
15100999,DWHREC_ABOR_POS,15100928,JobPlan,1,BreakFix/Jobs/DWHREC_ABOR_POS/
15101000,DWHREC_FUND_DCMP,15100928,JobPlan,1,BreakFix/Jobs/DWHREC_FUND_DCMP/
15101001,DWHREC_GLHOLDNG,15100928,JobPlan,1,BreakFix/Jobs/DWHREC_GLHOLDNG/
15101002,DWHREC_IBOR_POS,15100928,JobPlan,1,BreakFix/Jobs/DWHREC_IBOR_POS/
15101003,DWHREC_IBOR_SETT,15100928,JobPlan,1,BreakFix/Jobs/DWHREC_IBOR_SETT/
15101004,Copy_To_Direct_and_Archive,15100929,JobPlan,1,BreakFix/File_Templates/Copy_To_Direct_and_Archive/
15101005,Delete_From_Direct_After_Processing,15100929,JobPlan,1,BreakFix/File_Templates/Delete_From_Direct_After_Processing/
15101006,Copy_To_SFTP_and_Archive,15100929,JobPlan,1,BreakFix/File_Templates/Copy_To_SFTP_and_Archive/
15101007,Sync_Remote_To_Local,15100929,JobPlan,1,BreakFix/File_Templates/Sync_Remote_To_Local/
15101008,Copy_To_Archive_And_FTP_To_SCD,15100929,JobPlan,1,BreakFix/File_Templates/Copy_To_Archive_And_FTP_To_SCD/
15101009,Swift_Move_To_Direct,15100929,JobPlan,1,BreakFix/File_Templates/Swift_Move_To_Direct/
15101010,Copy_To_Archive,15100929,JobPlan,1,BreakFix/File_Templates/Copy_To_Archive/
15101011,Direct_Archive,15100929,JobPlan,1,BreakFix/File_Templates/Direct_Archive/
15101012,DM_REF_PARTIES,15100930,JobPlan,1,BreakFix/Plans/DM_REF_PARTIES/
15101013,DM_REF_SMF,15100930,JobPlan,1,BreakFix/Plans/DM_REF_SMF/
15101014,TRN_EXT_CL_TRD,15100930,JobPlan,1,BreakFix/Plans/TRN_EXT_CL_TRD/
15101015,DM_REF_BONDS,15100930,JobPlan,1,BreakFix/Plans/DM_REF_BONDS/
15101016,DM_REF_MKTDATA,15100930,JobPlan,1,BreakFix/Plans/DM_REF_MKTDATA/
15101017,DM_REF_SEC_ALL,15100930,JobPlan,1,BreakFix/Plans/DM_REF_SEC_ALL/
15101018,TRN_CASH,15100930,JobPlan,1,BreakFix/Plans/TRN_CASH/
15101019,RE_DWH_LOAD,15100930,JobPlan,1,BreakFix/Plans/RE_DWH_LOAD/
15101020,SA_EOD_ADMIN,15100930,JobPlan,1,BreakFix/Plans/SA_EOD_ADMIN/
15101021,RECON_INT_BNK_CB,15100930,JobPlan,1,BreakFix/Plans/RECON_INT_BNK_CB/
