Batch Job Group ID,Batch Job Group Name,Job Plan ID,Job Plan Name,Parent Path,Target ID
15101244,DWHREC_IBOR_POS,15101002,DWHREC_IBOR_POS,,15101103
15101245,DWHREC_IBOR_SETT,15101003,DWHREC_IBOR_SETT,,15101103
15105080,EMAIL_SUBMIT,15104800,EMAIL_SUBMIT,,15101103
15826132,FIN_REPO_RECON_DEXS,15826123,FIN_REPO_RECON_DEXS,,15101103
15101238,FLS_DEXS,15100996,FLS_DEXS,,15101103
16529656,FLS_POS_HOLDINGS,16529647,FLS_POS_HOLDINGS,,15101103
16529660,FRR_MAT_ALERT,16529650,FRR_MAT_ALERT,,15101103
20275482,FUTURES_TRANS_RISK,20275478,FUTURES_TRANS_RISK,/SimCorp Dimension/BreakFix/Jobs/Extracts_And_Reporting/FUTURES_TRANS_RISK,15101103
15105219,FX_FWD_RPT,15104905,FX_FWD_RPT,/SimCorp Dimension/Break_Fix/Jobs/Extracts_And_Reporting/FX_HEDGE_RPT,15101103
15105162,FX_HEDGE_EXTRACT,15104877,FX_HEDGE_EXTRACT,,15101103
15755397,FX_REAL_G_L,15755369,FX_REAL_G_L,,15101103
15101209,GL_CONTR_SURP_REBOOK,15100967,GL_CONTR_SURP_REBOOK,,15101103
17044049,HIST_RETURN,17044047,HIST_RETURN,,15101103
15101246,Copy_To_Direct_and_Archive,15101012,DM_REF_PARTIES,,15101004
15101247,Delete_From_Direct_After_Processing,15101012,DM_REF_PARTIES,,15101005
15101248,DM_REF_PARTIES,15101012,DM_REF_PARTIES,,15100931
15101249,Copy_To_Direct_and_Archive,15101013,DM_REF_SMF,,15101004
15101251,DM_REF_SMF,15101013,DM_REF_SMF,,15100932
15101252,Copy_To_Direct_and_Archive,15101014,TRN_EXT_CL_TRD,,15101004
15101253,Delete_From_Direct_After_Processing,15101014,TRN_EXT_CL_TRD,,15101005
15101254,TRN_EXT_CL_TRD,15101014,TRN_EXT_CL_TRD,,15100933
15101255,DM_REF_BONDS,15101015,DM_REF_BONDS,,15100934
15101256,Copy_To_Direct_and_Archive,15101016,DM_REF_MKTDATA,,15101004
15101257,DM_REF_MKTDATA,15101016,DM_REF_MKTDATA,,15100935
15101258,Delete_From_Direct_After_Processing,15101016,DM_REF_MKTDATA,,15101005
15101259,Copy_To_Direct_and_Archive,15101015,DM_REF_BONDS,,15101004
15101260,Delete_From_Direct_After_Processing,15101015,DM_REF_BONDS,,15101005
15101261,DM_REF_SEC_ALL,15101017,DM_REF_SEC_ALL,,15100936
15101262,Copy_To_SFTP_and_Archive,15101017,DM_REF_SEC_ALL,,15101006
15101264,TRN_CASH,15101018,TRN_CASH,,15100937
15101265,Copy_To_Direct_and_Archive,15101018,TRN_CASH,,15101004
15101266,Delete_From_Direct_After_Processing,15101018,TRN_CASH,,15101005
15101267,RE_DWH_LOAD,15101019,RE_DWH_LOAD,,15100938
15101268,SA_EOD_ADMIN,15101020,SA_EOD_ADMIN,,15100948
15101269,RECON_INT_BNK_CB,15101021,RECON_INT_BNK_CB,,15100939
15101270,RECON_INT_UNIT_1,15101022,RECON_INT_UNIT_1,,15100940
15101271,RECON_INT_UNIT_2,15101023,RECON_INT_UNIT_2,,15100941
15101272,RECON_NT_CSH_BAL,15101024,RECON_NT_CSH_BAL,,15100942
15101273,RECON_NT_CSH_PMT,15101025,RECON_NT_CSH_PMT,,15100943
15101274,RECON_NT_POS_IAB,15101026,RECON_NT_POS_IAB,,15100944
15101275,RECON_NT_POS_IO,15101027,RECON_NT_POS_IO,,15100946
15101276,RECON_NT_TRX,15101028,RECON_NT_TRX,,15100947
15101277,RECON_NT_WTAX,15101029,RECON_NT_WTAX,,15100945
15101278,Copy_To_SFTP_and_Archive_CASH,15101030,SA_CASH_MGMT_FILE_MOVE,,15101006
15101279,TM_DEPO_REPO,15101031,TM_DEPO_REPO,,15100951
15101280,Copy_To_Direct_and_Archive,15101031,TM_DEPO_REPO,,15101004
15101281,Delete_From_Direct_After_Processing,15101031,TM_DEPO_REPO,,15101005
15101282,DM_REF_EXTRACTS,15101032,DM_REF_EXTRACTS,,15100952
15101286,Copy_To_SFTP_and_Archive_BANKACCT,15101032,DM_REF_EXTRACTS,,15101006
15101289,TRN_FUT,15101033,TRN_FUT,,15100953
15101290,Copy_To_Direct_and_Archive,15101033,TRN_FUT,,15101004
15101291,Delete_From_Direct_After_Processing,15101033,TRN_FUT,,15101005
15101292,Copy_To_Direct_and_Archive,15101034,DM_REF_BANK_HOLIDAYS,,15101004
15101293,Delete_From_Direct_After_Processing,15101034,DM_REF_BANK_HOLIDAYS,,15101005
15101294,DM_REF_BANK_HOLIDAYS,15101034,DM_REF_BANK_HOLIDAYS,,15100954
15101295,SA_EOD_PMT,15101035,SA_EOD_PMT,,15100955
15101296,AS_24D_CA_CR_SDTR,15101036,AS_24D_CA_CR_SDTR,,15100956
15101297,PERF_CASH_BUCKETS,15101038,PERF_CASH_BUCKETS,,15100958
15101298,PERF_DAILY_FUND,15101039,PERF_DAILY_FUND,,15100959
15101299,PERF_DAILY_CLIENT,15101040,PERF_DAILY_CLIENT,,15100960
15101300,PERF_DAILY_INDEX,15101041,PERF_DAILY_INDEX,,15100961
15101301,PERF_ME_FUND,15101042,PERF_ME_FUND,,15100962
15101302,PERF_ME_CLIENT,15101043,PERF_ME_CLIENT,,15100963
15101303,PERF_WEEKLY_FUND,15101044,PERF_WEEKLY_FUND,,15100964
15101304,Copy_To_SFTP_and_Archive_CASH,15101045,RE_CASH_MGMT,,15101006
15101305,RE_CASH_MGMT,15101045,RE_CASH_MGMT,,15100965
15101306,Copy_To_Direct_and_Archive,15101046,PERF_INDEX_UNIDATA,,15101004
