Sort,Batch Job Group,Batch Job Group Name,Batch Job,Batch Job Name,Batch Task (IK),Extracts Exporter,Extraction Setup,Extraction Dedinitions,Data Format Setup,Extract Table,Data Import,Data Import Mapping,Data Import Rule,Reference File Import,Reference File Export,Create Job,Portfolio Calculation,General Reconciliation,Corporate Action Manager Setup
30,TM_DEPO_REPO,Import Repo and Deposit trades to Trade Manager,TM_DEPO_UPD_CXL,Import Deposits - Update Bloomberg Ref # for Close,Data Import - Execute,,,,TM_DEPO_UPD_CXL,,TM_DEPO_UPD_CXL,TM_DEPO_UPD_CXL,TM_DEPO_UPD_CXL,TM_DEPO_UPD_CXL,,,,,
40,TM_DEPO_REPO,Import Repo and Deposit trades to Trade Manager,DM_WAIT_TRAN_MQ_EMP,Data - Wait until Transaction Data MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
50,TM_DEPO_REPO,Import Repo and Deposit trades to Trade Manager,TM_DEPO_CXL,Import Cancel Deposits to Trade Manager,Data Import - Execute,,,,TM_DEPO_CXL,,TM_DEPO_CXL,TM_DEPO_CXL,TM_DEPO_CXL,TM_DEPO_CXL,,,,,
60,TM_DEPO_REPO,Import Repo and Deposit trades to Trade Manager,DM_WAIT_TRAN_MQ_EMP,Data - Wait until Transaction Data MQ is Empty,System - Wait Unit Message Queue is Empty,,,,,,,,,,,,,,
70,TM_DEPO_REPO,Import Repo and Deposit trades to Trade Manager,TM_REPO,Import Repos to Trade Manager,Data Import - Execute,,,,TM_REPO,,TM_REPO,TM_REPO,TM_REPO,TM_REPO,,,,,
80,TM_DEPO_REPO,Import Repo and Deposit trades to Trade Manager,TRN_REPO_CXL,Import Cancel Repos to Trade Manager,Data Import - Execute,,,,TM_REPO_CXL,,TM_REPO_CXL,TM_REPO_CXL,TM_REPO_CXL,TM_REPO_CXL,,,,,
1,TM_DEPO_REPO_MAN,Manual Import Repo and Deposit trades to Trade Manager,TM_DEPO_CXL_MAN,Manual Import Cancel Deposits to Trade Manager,Data Import - Execute,,,,TM_DEPO_CXL,,TM_DEPO_CXL,TM_DEPO_CXL,TM_DEPO_CXL,TM_DEPO_CXL,,,,,
2,TM_DEPO_REPO_MAN,Manual Import Repo and Deposit trades to Trade Manager,TM_DEPO_MAN,Manual Import Deposits to Trade Manager,Data Import - Execute,,,,TM_DEPO,,TM_DEPO,TM_DEPO,TM_DEPO,TM_DEPO,,,,,
3,TM_DEPO_REPO_MAN,Manual Import Repo and Deposit trades to Trade Manager,DM_ARCHIVE_DEPO,Archive Depo File Manual,File Operation - Move File,,,,,,,,,DFS_DEPO_MF,DFS_DEPO_MT,,,,
4,TM_DEPO_REPO_MAN,Manual Import Repo and Deposit trades to Trade Manager,TM_REPO_CXL_MAN,Manual Import Cancel Repos to Trade Manager,Data Import - Execute,,,,TM_REPO_CXL,,TM_REPO_CXL,TM_REPO_CXL,TM_REPO_CXL,TM_REPO_CXL,,,,,
