Batch Job Group ID,Batch Job Group Name,Job Plan ID,Job Plan Name
17428641,DM_FX_RATE_UPDT,17428636,DM_FX_RATE_UPDT
17611134,DM_REF_PORTF_UPDT,17611131,DM_REF_PORTF_UPDT
17672401,LE_NAME_UPD,17672392,LE_NAME_UPD
17926674,DM_REF_PORTF_BNKACC,17926631,DM_REF_PORTF_BNKACC
18412990,SO_PFC_DEADLOCK_EXT,18412980,SO_PFC_DEADLOCK_EXT
18552846,SA_CR_REF_RATE_FIX,18552843,SA_CR_REF_RATE_FIX
19712647,SO_GEN_REC_STATS_EXT,19712609,SO_GEN_REC_STATS_EXT
19731362,RE_DWH_PFC_1,19731350,RE_DWH_PFC_1
19731363,RE_DWH_PFC_2,19731351,RE_DWH_PFC_2
19731364,RE_DWH_LOAD_PLAN,19731352,RE_DWH_LOAD_PLAN
19731365,RE_DWH_FUND_CLEANUP,19731353,RE_DWH_FUND_CLEANUP
19731366,RE_DWH_POS_CLEANUP,19731354,RE_DWH_POS_CLEANUP
20187949,AUDIT_ACTIVE_USERS,20187947,AUDIT_ACTIVE_USERS
20294823,PERF_F_EXTRACT_UPD,20294821,PERF_F_EXTRACT_UPD
20404180,PERF_DAILY_CLIENT_1,20404069,PERF_DAILY_CLIENT_1
20404187,PERF_DAILY_CLIENT_2,20404083,PERF_DAILY_CLIENT_2
20404190,PERF_DAILY_CLIENT_3,20404097,PERF_DAILY_CLIENT_3
20404198,PERF_DAILY_FUND_1,20404108,PERF_DAILY_FUND_1
20404200,PERF_DAILY_FUND_2,20404141,PERF_DAILY_FUND_2
20404215,PERF_DAILY_FUND_3,20404150,PERF_DAILY_FUND_3
22185786,RECON_NT_POS_IAB_590,22185785,RECON_NT_POS_IAB_590
24138375,PERF_IUD_IMPORT,24138373,PERF_IUD_IMPORT
24391935,DM_EXT_REF_RATES_CO,24391928,DM_EXT_REF_RATES_CO
24391936,DM_EXT_REF_RATES_SO,24391929,DM_EXT_REF_RATES_SO
24476165,SA_CASHFORE_ALLCCY,24476153,SA_CASHFORE_ALLCCY
24512595,TRN_DIV_SWAP,24512592,TRN_DIV_SWAP
26596681,DM_COPY_NT_CASH_PMT,26596678,DM_COPY_NT_CASH_PMT
27288487,DM_COPY_NT_POS_FILE,27288472,DM_COPY_NT_POS_FILE
28026828,DM_FX_RATE_COPY,28026826,DM_FX_RATE_COPY
28241102,SA_REF_RATES_ZERO,28241076,SA_REF_RATES_ZERO
30023177,DM_EXT_HLD_STD_CTRT,30023171,DM_EXT_HLD_STD_CTRT
30023180,DM_HLD_EST_YLD_CURV,30023174,DM_HLD_EST_YLD_CURV
30973336,TRN_EXT_RECON,30973335,TRN_EXT_RECON
31262040,DM_REF_FCDIV,31262037,DM_REF_FCDIV
31794794,PERF_WEEKLY_CLIENT_1,31794793,PERF_WEEKLY_CLIENT_1
31794849,PERF_WEEKLY_FUND_1,31794848,PERF_WEEKLY_FUND_1
32184711,DM_COPY_DWHREC,32184700,DM_COPY_DWHREC
32680775,SO_DWHREC_GLHOL_CL,32680772,SO_DWHREC_GLHOL_CL
15101435,TRN_CAP_PAY,15101105,TRN_CAP_PAY
15101436,TRN_PDWN_LN_FAC,15101106,TRN_PDWN_LN_FAC
15101437,TRN_ALT_INV_INC_EXP,15101107,TRN_ALT_INV_INC_EXP
15101438,TRN_BOOK_CORR,15101108,TRN_BOOK_CORR
15101439,TRN_LN_FAC_DWN,15101109,TRN_LN_FAC_DWN
15101440,TRN_LN_FAC_ROL,15101110,TRN_LN_FAC_ROL
15101441,DM_ALT_INV_MV,15101111,DM_ALT_INV_MV
15101466,ADHOC_PERF_DAILY_FUN,15101122,ADHOC_PERF_DAILY_FUN
15101468,AdHocJob,15101124,AdHocJob
15101469,ADHOC_PERF_DAILY_CLI,15101125,ADHOC_PERF_DAILY_CLI
15101471,ADHOC_PERF_DAILY_IDX,15101127,ADHOC_PERF_DAILY_IDX
15101473,ADHOC_PERF_DEX_UPD,15101130,ADHOC_PERF_DEX_UPD
15101475,ADHOC_PERF_LBF,15101131,ADHOC_PERF_LBF
15101477,ADHOC_PERF_ME_CLIENT,15101134,ADHOC_PERF_ME_CLIENT
15101479,ADHOC_PERF_ME_FUND,15101135,ADHOC_PERF_ME_FUND
15105162,FX_HEDGE_EXTRACT,15104877,FX_HEDGE_EXTRACT
15105185,AR_MTHLY,15104889,AR_MTHLY
15105196,AR_ADHOC,15104891,AR_ADHOC
15105205,IO_SWAP_ID_MAPPING,15104894,IO_SWAP_ID_MAPPING
15105209,REF_SMF_LFCONTRACTS,15104897,REF_SMF_LFCONTRACTS
15105213,AR_SYS_CHG,15104900,AR_SYS_CHG
15105219,FX_FWD_RPT,15104905,FX_FWD_RPT
15589390,IO_SETTLE_POSITIONS,15589384,IO_SETTLE_POSITIONS
15660866,IO_FUT_TXN,15660857,IO_FUT_TXN
15755397,FX_REAL_G_L,15755369,FX_REAL_G_L
15824371,PRF_REP_DAILY,15824365,PRF_REP_DAILY
15824379,PRF_REP_MONTHLY,15824368,PRF_REP_MONTHLY
15826132,FIN_REPO_RECON_DEXS,15826123,FIN_REPO_RECON_DEXS
15963280,STREPO_DEXS,15963277,STREPO_DEXS
16007968,DIV_TXN_TD,16007965,DIV_TXN_TD
16174103,TRN_EXT,16174092,TRN_EXT
16318717,DM_EXT_DIV_TRXNS,16318714,DM_EXT_DIV_TRXNS
16410063,TRN_EXT_CO,16410061,TRN_EXT_CO
16529656,FLS_POS_HOLDINGS,16529647,FLS_POS_HOLDINGS
16529660,FRR_MAT_ALERT,16529650,FRR_MAT_ALERT
16658896,VAL_EOD_ADMIN,16657222,VAL_EOD_ADMIN
16979937,ADHOC_DWHRC_ABOR_POS,16979929,ADHOC_DWHRC_ABOR_POS
16979938,ADHOC_DWHRC_FUND_DCP,16979931,ADHOC_DWHRC_FUND_DCP
17036922,SA_CASH_MGMT_IO,17036918,SA_CASH_MGMT_IO
17573335,SA_DWH_REC_STATS,17573320,SA_DWH_REC_STATS
18531910,DM_EXT_PMRS_REP,18531907,DM_EXT_PMRS_REP
19906230,PRF_IRR_CALC,19906227,PRF_IRR_CALC
19908188,REF_DATA_IAB,19908185,REF_DATA_IAB
20275482,FUTURES_TRANS_RISK,20275478,FUTURES_TRANS_RISK
22454858,DM_EXT_POS_FI,22454842,DM_EXT_POS_FI
25361083,DM_EXT_WHT_DEDUC,25361078,DM_EXT_WHT_DEDUC
25439476,DM_EXT_TRN_CASH_OPS,25439452,DM_EXT_TRN_CASH_OPS
26186013,IO_AI_UNFUND_COMMIT,26186011,IO_AI_UNFUND_COMMIT
27255438,IPD_PRFCLC_EXT,27255433,IPD_PRFCLC_EXT
27255439,IPD_TRN_EXT,27255432,IPD_TRN_EXT
28162571,DM_MDV_AUDIT_EXPORT,28162554,DM_MDV_AUDIT_EXPORT
28312513,DM_EXT_POS_EDM,28312511,DM_EXT_POS_EDM
28439905,SO_V_BUS_DATA,28439904,SO_V_BUS_DATA
28730701,DM_EXT_PROJ_DIV,28730699,DM_EXT_PROJ_DIV
28863681,DWH_LINEAGE,28863677,DWH_LINEAGE
