ID,Name,Parent ID,Parent Name,Object Type,Path Name
30425460,TRN_CDS_IDX,30425455,TRN_CDS_IDX_TRIGGERED,Reference,PROD/Triggered_Plans/TRN_CDS_IDX_TRIGGERED/TRN_CDS_IDX
30428906,TRN_CDS_IDX,30425453,TRN_CDS_IDX,Reference,PROD/Jobs/TRN_CDS_IDX/TRN_CDS_IDX
30428907,Copy_To_Direct_And_Archive,30425454,TRN_CDS_IDX,Reference,PROD/Plans/TRN_CDS_IDX/Copy_To_Direct_And_Archive
30428908,Delete_From_Direct_After_Processing,30425454,TRN_CDS_IDX,Reference,PROD/Plans/TRN_CDS_IDX/Delete_From_Direct_After_Processing
30687027,RE_DWH_PFC_1,30687020,RE_DWH_PFC_1,Reference,PROD/Jobs/RE_DWH_PFC_1/RE_DWH_PFC_1
30687028,RE_DWH_PFC_2,30687021,RE_DWH_PFC_2,Reference,PROD/Jobs/RE_DWH_PFC_2/RE_DWH_PFC_2
30687029,RE_DWH_LOAD_PLAN,30687022,RE_DWH_LOAD_PLAN,Reference,PROD/Jobs/RE_DWH_LOAD_PLAN/RE_DWH_LOAD_PLAN
30687030,RE_DWH_FUND_CLEANUP,30687023,RE_DWH_FUND_CLEANUP,Reference,PROD/Jobs/RE_DWH_FUND_CLEANUP/RE_DWH_FUND_CLEANUP
30687031,RE_DWH_POS_CLEANUP,30687024,RE_DWH_POS_CLEANUP,Reference,PROD/Jobs/RE_DWH_POS_CLEANUP/RE_DWH_POS_CLEANUP
30687190,RE_DWH_LOAD,12250637,SCD_DWH_LOAD,Reference,PROD/Constraint_Triggered_Plans/SCD_DWH_LOAD/RE_DWH_LOAD
30732996,Capture_Job_Status,12250637,SCD_DWH_LOAD,Reference,PROD/Constraint_Triggered_Plans/SCD_DWH_LOAD/Capture_Job_Status
31558636,PERF_F_EXTRACT_UPD,31558634,PERF_F_EXTRACT_UPD,Reference,PROD/Plans/PERF_F_EXTRACT_UPD/PERF_F_EXTRACT_UPD
31558767,PERF_F_EXTRACT_UPD,31558633,PERF_F_EXTRACT_UPD,Reference,PROD/Jobs/PERF_F_EXTRACT_UPD/PERF_F_EXTRACT_UPD
31561119,PERF_F_EXTRACT_UPD,12250635,zz_SCD_PERF_DAILY,Reference,PROD/Constraint_Triggered_Plans/zz_SCD_PERF_DAILY/PERF_F_EXTRACT_UPD
31930642,AUDIT_ACTIVE_USERS,31890743,AUDIT_ACTIVE_USERS,Reference,PROD/Jobs/AUDIT_ACTIVE_USERS/AUDIT_ACTIVE_USERS
32104630,PERF_DAILY_CLIENT_1,32103382,PERF_DAILY_CLIENT_1,Reference,PROD/Jobs/PERF_DAILY_CLIENT_1/PERF_DAILY_CLIENT_1
32104631,PERF_DAILY_CLIENT_2,32103383,PERF_DAILY_CLIENT_2,Reference,PROD/Jobs/PERF_DAILY_CLIENT_2/PERF_DAILY_CLIENT_2
32104632,PERF_DAILY_CLIENT_3,32103384,PERF_DAILY_CLIENT_3,Reference,PROD/Jobs/PERF_DAILY_CLIENT_3/PERF_DAILY_CLIENT_3
32104633,PERF_DAILY_FUND_1,32103385,PERF_DAILY_FUND_1,Reference,PROD/Jobs/PERF_DAILY_FUND_1/PERF_DAILY_FUND_1
32104634,PERF_DAILY_FUND_2,32103386,PERF_DAILY_FUND_2,Reference,PROD/Jobs/PERF_DAILY_FUND_2/PERF_DAILY_FUND_2
32104635,PERF_DAILY_FUND_3,32103387,PERF_DAILY_FUND_3,Reference,PROD/Jobs/PERF_DAILY_FUND_3/PERF_DAILY_FUND_3
32105286,PERF_DAILY_CLIENT_PARALLEL,12250635,zz_SCD_PERF_DAILY,Reference,PROD/Constraint_Triggered_Plans/zz_SCD_PERF_DAILY/PERF_DAILY_CLIENT_PARALLEL
32105310,PERF_DAILY_FUND_PARALLEL,12250635,zz_SCD_PERF_DAILY,Reference,PROD/Constraint_Triggered_Plans/zz_SCD_PERF_DAILY/PERF_DAILY_FUND_PARALLEL
32250137,WAIT_SWIFT_CASH_RECON_FILE,13676572,SCD_RECON_NT_CASH_PMT,Reference,PROD/Constraint_Triggered_Plans/SCD_RECON_NT_CASH_PMT/WAIT_SWIFT_CASH_RECON_FILE
32250157,SWIFT_CHECK_FOR_MT_FILES,13676572,SCD_RECON_NT_CASH_PMT,Reference,PROD/Constraint_Triggered_Plans/SCD_RECON_NT_CASH_PMT/SWIFT_CHECK_FOR_MT_FILES
32576781,Wait_EDM_To_SCD_Market_Prices,32576757,SCD_MANUAL_QUOTE,Reference,PROD/Constraint_Triggered_Plans/SCD_MANUAL_QUOTE/Wait_EDM_To_SCD_Market_Prices
32576782,WAIT_DM_REF_MKTDATA_TRIGGERED,32576757,SCD_MANUAL_QUOTE,Reference,PROD/Constraint_Triggered_Plans/SCD_MANUAL_QUOTE/WAIT_DM_REF_MKTDATA_TRIGGERED
32576783,MANUAL_QUOTE,32576757,SCD_MANUAL_QUOTE,Reference,PROD/Constraint_Triggered_Plans/SCD_MANUAL_QUOTE/MANUAL_QUOTE
32576880,WAIT_SCD_MANUAL_QUOTE,12250633,SCD_EOD_PROCESSING,Reference,PROD/Constraint_Triggered_Plans/SCD_EOD_PROCESSING/WAIT_SCD_MANUAL_QUOTE
33616948,EXTMGR_START_OF_DAY_MOVE_FILES_SWIFT,33616946,EXTMGR_START_OF_DAY_MOVE_FILES,Reference,PROD/Scheduled_Plans/EXTMGR_START_OF_DAY_MOVE_FILES/EXTMGR_START_OF_DAY_MOVE_FILES_SWIFT
34790231,SO_GEN_REC_STATS_EXT,34790229,SO_GEN_REC_STATS_EXT,Reference,PROD/Plans/SO_GEN_REC_STATS_EXT/SO_GEN_REC_STATS_EXT
34790362,SO_GEN_REC_STATS_EXT,34186004,SO_GEN_REC_STATS_EXT,Reference,PROD/Jobs/SO_GEN_REC_STATS_EXT/SO_GEN_REC_STATS_EXT
34790363,Copy_To_SFTP_and_Archive,34790229,SO_GEN_REC_STATS_EXT,Reference,PROD/Plans/SO_GEN_REC_STATS_EXT/Copy_To_SFTP_and_Archive
34790546,SO_GEN_REC_STATS_EXT,12250659,SCD_DWH_RECON,Reference,PROD/Constraint_Triggered_Plans/SCD_DWH_RECON/SO_GEN_REC_STATS_EXT
